"ID","Model","Sample Size (N)","AIC","AICc","ΔAICci","Wi"
0,"Cubic",28,-122.25,-148.83,39.41,0
0,"Quadratic",28,-77.88,-90.86,97.38,0
0,"Gompertz",28,-154.62,-188.24,0,1
1,"Cubic",28,-88.28,-107.48,149,0
1,"Quadratic",28,-65.63,-76.57,179.9,0
1,"Gompertz",28,-210.68,-256.48,0,1
2,"Cubic",28,-53.13,-64.68,126.9,0
2,"Quadratic",28,-28.26,-32.97,158.62,0
2,"Gompertz",28,-157.37,-191.58,0,1
3,"Cubic",30,-80.75,-96.89,1.56,0.31
3,"Quadratic",30,-42.56,-49.11,49.35,0
3,"Gompertz",30,-82.05,-98.46,0,0.69
5,"Cubic",28,-148.32,-180.57,24.74,0
5,"Quadratic",28,-110.24,-128.61,76.69,0
5,"Gompertz",28,-168.65,-205.31,0,1
6,"Cubic",28,-109.09,-132.8,21.56,0
6,"Quadratic",28,-56.31,-65.7,88.66,0
6,"Gompertz",28,-126.8,-154.36,0,1
7,"Cubic",28,-117.72,-143.32,7.02,0.03
7,"Quadratic",28,-82.28,-95.99,54.35,0
7,"Gompertz",28,-123.49,-150.34,0,0.97
8,"Cubic",28,-143.24,-174.37,5.33,0.06
8,"Quadratic",28,-122.21,-142.57,37.13,0
8,"Gompertz",28,-147.61,-179.7,0,0.94
9,"Cubic",28,-127.72,-155.48,0,1
9,"Quadratic",28,-100.12,-116.81,38.67,0
9,"Gompertz",28,-108.96,-132.65,22.83,0
10,"Cubic",28,-125.44,-152.71,32.07,0
10,"Quadratic",28,-65.75,-76.71,108.07,0
10,"Gompertz",28,-151.78,-184.78,0,1
11,"Cubic",28,-136.96,-166.73,14.85,0
11,"Quadratic",28,-95.47,-111.39,70.19,0
11,"Gompertz",28,-149.15,-181.57,0,1
12,"Cubic",28,-127.21,-154.86,61.7,0
12,"Quadratic",28,-83.72,-97.68,118.88,0
12,"Gompertz",28,-177.88,-216.56,0,1
13,"Cubic",28,-69.79,-84.96,0,0.69
