"ID","Model","Sample Size (N)","AIC","AICc","ΔAICci","Wi"
0,"Gompertz",28,-154.62,-188.24,0,1
1,"Gompertz",28,-210.68,-256.48,0,1
2,"Gompertz",28,-157.37,-191.58,0,1
3,"Gompertz",30,-82.05,-98.46,0,0.69
5,"Gompertz",28,-168.65,-205.31,0,1
6,"Gompertz",28,-126.8,-154.36,0,1
7,"Gompertz",28,-123.49,-150.34,0,0.97
8,"Gompertz",28,-147.61,-179.7,0,0.94
9,"Cubic",28,-127.72,-155.48,0,1
10,"Gompertz",28,-151.78,-184.78,0,1
11,"Gompertz",28,-149.15,-181.57,0,1
12,"Gompertz",28,-177.88,-216.56,0,1
13,"Cubic",28,-69.79,-84.96,0,0.69
15,"Gompertz",28,-156.93,-191.04,0,1
17,"Cubic",28,-143.46,-174.65,0,0.57
18,"Cubic",28,-115.77,-140.94,0,0.57
19,"Cubic",28,-67.1,-81.68,0,0.8
21,"Gompertz",28,-156.06,-189.99,0,0.99
22,"Gompertz",21,-111.12,-145.85,0,1
23,"Gompertz",28,-132.21,-160.96,0,1
24,"Cubic",26,-32.28,-39.97,0,1
25,"Cubic",26,-20.59,-25.49,0,1
26,"Cubic",22,-63.24,-81.83,0,1
27,"Cubic",23,-72.55,-92.7,0,1
28,"Cubic",23,-38.83,-49.61,0,1
29,"Gompertz",23,-101.36,-129.51,0,1
30,"Cubic",21,-70.15,-92.08,0,1
31,"Cubic",25,-19.28,-24.11,0,1
32,"Cubic",23,-31.63,-40.42,0,1
33,"Gompertz",23,-37.12,-47.43,0,1
34,"Cubic",32,-54.64,-64.75,0,1
35,"Cubic",25,-38.62,-48.28,0,1
36,"Cubic",23,-16.33,-20.86,0,1
37,"Cubic",23,-9.44,-12.06,0,1
38,"Gompertz",23,-49.75,-63.57,0,1
39,"Cubic",21,-71.28,-93.56,0,1
40,"Cubic",22,-45.13,-58.4,0,1
41,"Gompertz",32,-49.59,-58.78,0,1
42,"Gompertz",21,-62.62,-82.19,0,1
43,"Cubic",23,-83.91,-107.22,0,1
44,"Cubic",12,-18.9,-32.4,0,1
45,"Cubic",17,-55.29,-78.33,0,1
46,"Cubic",15,-34.31,-51.47,0,1
47,"Cubic",15,-20.77,-31.16,0,0.97
48,"Cubic",14,-21.73,-33.8,0,1
49,"Cubic",15,-20.8,-31.2,0,1
50,"Gompertz",13,-28.26,-45.93,0,0.95
51,"Gompertz",12,-54.05,-92.66,0,1
52,"Cubic",13,-27.45,-44.61,0,1
53,"Cubic",14,-18.96,-29.49,0,0.99
54,"Cubic",14,-31.31,-48.71,0,1
55,"Cubic",16,-38.57,-56.1,0,1
56,"Cubic",16,-6.86,-9.98,0,0.89
57,"Cubic",16,-10.55,-15.35,0,0.99
58,"Quadratic",17,-14.58,-19.06,0,0.61
59,"Gompertz",16,-47.13,-68.56,0,1
60,"Cubic",15,-11.83,-17.74,0,1
61,"Cubic",14,-27.71,-43.11,0,1
62,"Cubic",13,-23.7,-38.5,0,1
63,"Cubic",16,-8.68,-12.63,0,0.93
64,"Cubic",15,-9.44,-14.16,0,0.98
65,"Gompertz",16,-25.79,-37.52,0,0.97
66,"Cubic",14,-12.83,-19.96,0,0.92
67,"Cubic",16,-5.23,-7.61,0,0.88
68,"Cubic",16,-4.5,-6.54,0,1
69,"Cubic",14,-5.04,-7.84,0,1
70,"Quadratic",15,26.16,35.67,0,0.56
71,"Cubic",17,-12.27,-17.39,0,1
72,"Cubic",17,-16.54,-23.43,0,1
73,"Cubic",15,-24.23,-36.34,0,1
74,"Cubic",16,-15.68,-22.81,0,0.99
75,"Cubic",16,-16.41,-23.87,0,1
76,"Cubic",15,-29.19,-43.79,0,1
77,"Cubic",16,-33.33,-48.48,0,1
78,"Cubic",18,4.65,6.43,0,0.74
79,"Cubic",18,5.31,7.35,0,0.95
80,"Cubic",16,-20.49,-29.81,0,1
81,"Cubic",17,5.86,8.3,0,0.97
82,"Cubic",17,-2.06,-2.92,0,0.95
83,"Cubic",15,-21.06,-31.6,0,1
84,"Cubic",15,-16.28,-24.42,0,1
85,"Cubic",17,-3.44,-4.88,0,0.74
86,"Cubic",17,-9.53,-13.51,0,0.98
87,"Cubic",17,-13.02,-18.44,0,1
89,"Cubic",54,-66.66,-73.46,0,0.92
90,"Gompertz",63,-199.15,-216.31,0,1
91,"Cubic",66,-129.48,-140.09,0,1
92,"Cubic",57,-21.7,-23.79,0,0.89
93,"Cubic",9,-34.48,-77.57,0,0.99
94,"Gompertz",8,-12.5,-33.34,0,0.99
95,"Cubic",14,-22.93,-35.67,0,1
96,"Cubic",11,-18.3,-33.56,0,1
97,"Cubic",9,-11.65,-26.22,0,0.96
98,"Cubic",9,-24.14,-54.31,0,1
99,"Gompertz",10,-31.32,-62.63,0,0.6
100,"Cubic",6,-19.34,-116.03,0,1
101,"Cubic",13,-26.37,-42.84,0,0.78
102,"Cubic",13,-39.4,-64.03,0,1
103,"Cubic",12,-43.41,-74.42,0,1
104,"Cubic",9,-19.28,-43.38,0,1
105,"Gompertz",10,-33.18,-66.36,0,1
106,"Cubic",7,-12.62,-44.17,0,1
107,"Gompertz",13,-45.27,-73.56,0,1
108,"Gompertz",12,-25.73,-44.11,0,0.62
109,"Cubic",11,-32.84,-60.2,0,0.97
110,"Cubic",9,-27.07,-60.91,0,1
111,"Gompertz",11,-27.29,-50.04,0,1
112,"Gompertz",7,-8.4,-29.4,0,0.99
113,"Cubic",10,-32.01,-64.01,0,1
114,"Cubic",13,-20.89,-33.94,0,1
115,"Cubic",12,-25.85,-44.32,0,1
116,"Cubic",9,-25.25,-56.81,0,1
117,"Gompertz",11,-42.86,-78.58,0,1
118,"Cubic",7,-5.56,-19.45,0,0.94
119,"Gompertz",11,-45.8,-83.96,0,1
120,"Cubic",13,-19.63,-31.9,0,1
121,"Cubic",12,-41.67,-71.44,0,1
122,"Cubic",8,-38.6,-102.93,0,0.94
123,"Gompertz",10,-20.75,-41.5,0,1
124,"Cubic",6,-16.41,-98.48,0,1
125,"Cubic",13,-21.12,-34.32,0,1
126,"Cubic",11,-18.86,-34.59,0,0.85
127,"Cubic",12,-21.7,-37.2,0,0.74
128,"Cubic",9,-12.29,-27.64,0,1
129,"Gompertz",10,-31.51,-63.02,0,0.95
130,"Cubic",6,-14.56,-87.36,0,1
131,"Cubic",13,-23.35,-37.95,0,1
132,"Cubic",12,-14.51,-24.88,0,0.99
133,"Cubic",10,-23.96,-47.92,0,1
134,"Cubic",8,-20.31,-54.16,0,1
135,"Gompertz",10,-25,-50.01,0,1
136,"Gompertz",6,-19.13,-114.81,0,1
137,"Cubic",14,-36.94,-57.47,0,0.92
138,"Cubic",12,-27.82,-47.7,0,1
139,"Cubic",9,-21.74,-48.91,0,1
140,"Cubic",6,-14.02,-84.11,0,0.98
141,"Gompertz",9,-25.46,-57.29,0,1
142,"Gompertz",7,-18.65,-65.27,0,0.99
143,"Cubic",13,-23.82,-38.71,0,1
144,"Cubic",12,-14.57,-24.98,0,0.99
145,"Cubic",9,-23.3,-52.43,0,1
146,"Cubic",9,-25.66,-57.72,0,1
147,"Gompertz",10,-32.6,-65.19,0,0.98
148,"Cubic",14,-23.49,-36.54,0,0.83
149,"Gompertz",7,-20.36,-71.27,0,1
150,"Cubic",10,-15.41,-30.81,0,1
151,"Cubic",9,-16.31,-36.69,0,1
152,"Cubic",8,-22.27,-59.39,0,1
153,"Cubic",10,-32.05,-64.09,0,1
154,"Gompertz",7,-18.25,-63.89,0,1
