ID,N_0,N_max,r_max,t_lag,AIC
0,-9349.442,-1.309,66.501,-1042.001,-154.622
1,-11.859,-0.565,0.278,-65.634,-210.677
2,-4.692,-0.747,0.15,29.309,-157.373
3,-0.824,-5.562,0.09,129.568,-82.049
5,-4191.507,-0.871,22.573,-1287.587,-168.645
6,-1.412,-18.571,0.092,97.142,-126.798
7,-832.789,-1.788,6.179,-704.082,-123.491
8,-2.11,-107373317.354,38936.046,-4385.96,-147.611
9,-4.211,-2.225,0.017,-18.835,-108.963
10,-5.466,-1.55,0.059,-13.155,-151.785
11,-1.326,-100901.294,64.952,-1745.064,-149.149
12,-0.972,-6.591,0.038,140.605,-177.885
13,-4.899,-4.364,0.279,597.086,-48.289
15,-4.69,-0.886,0.098,52.15,-156.926
17,-3.064,-6.827,0.009,223.544,-142.943
18,-6.243,-1.809,0.032,-60.178,-115.305
19,-4.946,-4.408,0.211,595.456,-48.258
21,-3514.935,-1.009,14.423,-1664.8,-156.061
22,-4.094,-1.143,0.074,-21.236,-111.125
23,-3.359,-0.191,0.822,1.39,-132.213
24,-493.282,6344.123,0.006,-29656.636,0.778
25,-1.384,-1.621,-0.003,243.116,3.566
26,-896.956,8191.764,0.01,-117276.188,-5.703
27,-1.093,-1.093,-0.051,318.351,2.586
28,-2.057,-2.057,-0.043,323.263,11.16
29,-7168.995,-1.363,308.138,-170.33,-101.357
30,-1.651,-1.845,-0.004,381.252,-47.617
31,-2.344,-2.254,1.275,292.702,5.075
32,-664.496,7617.267,0.008,-60582.168,-4.021
33,-1.584,-2.165922005997174e+16,51578958951009.05,-919.843,-37.117
34,-0.719,-1.003,-0.014,550.158,-5.85
35,-813.25,9997.267,0.01,-43376.924,-0.231
36,-1.052,-1.052,-0.02,322.967,15.423
37,-1.524,-1.524,-0.027,322.408,25.529
38,-0.665,-37415.751,252.687,-149.901,-49.753
39,-37.179,492.541,0.001,103.472,-32.987
40,-3.52,-1.511,0.025,-20.775,-18.703
41,-3.022,-0.286,0.17,-8.734,-49.592
42,-3207.061,-1.572,46.88,-437.045,-62.618
43,-1.042,-16.043,0.155,38.685,-40.852
44,-2.263,30695.275,79.679,735201.506,10.875
45,-0.87,-1.334,-0.082,299.739,12.284
46,-1.729,16.729,-0.053,-980.083,15.051
47,25680.304,-1.901,-2100.69,-2796041.394,18.565
48,-2.691,-15863366.403,-141216.352,24533231.854,15.608
49,33.314,-1.752,-1.682,-3701.744,13.241
50,-4.649,-1.692,0.346,-2.921,-28.264
51,-3122.277,-1.221,257.455,-80.567,-54.053
52,-2.448,-1.255,0.079,334.928,-3.165
53,-2.526,570198.252,375.753,30166863.242,4.245
54,-2.331,-1.255,0.088,334.989,-1.136
55,5529.539,-2.172,-332.132,-748200.732,13.212
56,-83901.248,-0.692,-3519.521,183735.801,4.71
57,-3.306,-0.434,0.203,-5.537,-4.166
58,-1.915,-4.318,-0.363,-166.841,37.979
59,-4.236,-0.673,1.132,3.0,-47.131
60,-1.462,-1.255,0.039,334.727,13.112
61,-2.773,2.183,-0.003,-3745.555,-4.329
62,-2.755,-1.255,0.06,334.851,12.334
63,-0.826,-0.826,0.158,334.973,4.674
64,304.903,-3.203,-14.693,-44982.258,21.841
65,-4.552,-0.845,0.387,-4.276,-25.793
66,-2.36,-1.255,0.035,334.908,10.566
67,-1.397,-0.706,-0.034,709.134,6.445
68,-1.93,-1.255,0.107,334.854,19.964
69,927812.261,-1.664,-73833.071,-111779997.404,11.936
70,-3.235,-1.255,0.207,335.003,36.198
71,204.958,-1.595,-10.526,-23635.416,15.579
72,-2.781,15809.633,-118.795,-893381.4,9.56
73,-2.121,-1.255,0.074,335.039,-2.303
74,4.452,-1.951,-0.451,-418.512,7.594
75,-2.222,-1.255,0.05,334.885,6.395
76,-2.327,-1.255,0.074,334.846,-0.085
77,-2.507,-1.255,0.056,334.816,-4.504
78,25.093,-0.668,-1.397,-3260.889,13.123
79,-1.298,-1.255,0.205,334.917,17.644
80,-2.184,27140.916,-186.133,-1316213.465,4.081
81,88.396,-1.823,-4.75,-10087.375,19.715
82,-1.212,-1.212,0.067,334.799,7.751
83,-2.701,16.799,-0.049,-1064.414,-3.934
84,-2.977,-1.255,0.05,334.725,7.465
85,-4.753,-1.255,-0.353,334.805,12.29
86,-2.375,-1.255,0.136,334.976,14.45
87,-1.627,1271043.31,6031.48,15061524.955,11.718
89,8.931,46.449,-0.073,-5288.072,33.906
90,9.752,7.04,0.085,197.715,-199.145
91,8.861,8.861,-0.111,179.366,-46.193
92,7.483,8.284,-0.464,-109.975,20.84
93,-0.123,8.159,0.046,148.328,-30.14
94,5.511,-0.506,0.055,386.433,-12.501
95,4.127,2334.808,4.981,58706.367,37.746
96,4.11,-5.158,-0.232,974.055,29.853
97,710.579,4.289,-31.357,-90750.36,21.433
98,3.824,4.127,-0.167,984.498,21.363
99,-0.425,7.956,0.038,87.536,-31.315
100,4.36,291.447,-0.108,-15527.349,14.707
101,7.193,-1.939,0.093,245.504,-24.775
102,4.321,1.34,-0.115,334.871,31.266
103,907.623,4.221,-41.512,-113274.339,30.054
104,4.119,-0.407,-0.223,1524.973,24.117
105,0.089,3.06,0.066,191.984,-33.178
106,3.998,4.209,-8.565,777.481,16.76
107,0.018,6.423,0.082,131.216,-45.267
108,6.231,-15.141,0.149,124.696,-25.73
109,20.686,4.035,-1.823,-2055.041,28.709
110,4.121,0.622,-0.231,214.429,24.638
111,-0.018,6.08,0.085,114.015,-27.293
112,6.984,-2.486,0.076,293.903,-8.4
113,0.195,6.464,0.113,93.282,-23.447
114,4.048,3.036,-3.861,304.706,35.242
115,4.845,0.35,-0.403,220.64,33.293
116,5.003,0.733,-0.189,213.99,26.12
117,0.166,5.748,0.086,138.839,-42.861
118,4.904,3.419,-10.701,-1646.898,17.485
119,5.369,-0.636,0.093,229.569,-45.797
120,3.396,22.967,-0.01,-6504.836,30.19
121,3.828,-0.541,230692309.709,-1191486071114.843,27.323
122,6.842,-3.821,0.383,51.751,-36.516
123,0.211,8.047,0.062,150.061,-20.749
124,5.892,-7605.59,-484.761,33758.417,12.408
125,2.944,2.944,0.067,-183.749,33.755
126,2.096,5.161,-0.324,408.726,28.719
127,5.094,284079.416,1939.155,5048699.068,33.525
128,4.141,-18.404,-0.31,216.565,26.915
129,6.336,-1.102,0.056,390.35,-31.513
130,-5358.892,57084.113,0.061,-88152.835,5.168
131,4.115,4.013,-0.28,-115.883,34.029
132,2.576,3.163,-0.972,231.761,27.736
133,3.291,-3.369,-0.043,568.971,26.984
134,3.386,-0.322,-2.243,214.491,19.966
135,5.696,-1.008,0.054,358.22,-25.003
136,1.006,6.319,0.073,164.875,-19.134
137,6.734,-0.538,0.079,262.336,-33.795
138,3.648,22.795,-3.814,-791.069,26.695
139,-0.255,2.896,-2.236,225.866,20.703
140,-0.668,6.36,0.503,14.8,-12.625
141,-0.006,7.728,0.075,198.094,-25.463
142,0.232,8.214,0.083,183.197,-18.649
143,3.865,6.837,-0.296,-43.47,36.129
144,-1.384,3.985,-32.515,221.826,29.985
145,3.561,26.645,-0.144,-1759.934,24.254
146,-1.103,2.989,-0.619,1388.814,21.791
147,0.164,6.226,0.059,162.472,-32.596
148,7.281,-0.324,0.128,212.831,-21.451
149,0.268,6.191,0.081,155.126,-20.362
150,48.937,3.649,-0.675,-1541.825,26.244
151,3.8,-2.79,-0.037,857.303,24.529
152,3.563,24.161,-0.058,-3928.374,19.085
153,2.675,3.955,-0.062,-43.621,23.858
154,0.626,7.072,0.079,151.551,-18.254
155,0.241,8.283,0.104,92.258,-44.676
156,3.533,3.533,-0.962,188.171,27.397
157,18493.588,3.075,-460.426,-1387035.453,20.112
158,0.278,6.523,0.623,17.749,-21.076
159,3.195,4.025,-0.122,-109.077,23.493
160,0.113,9.395,0.099,163.323,-0.126
161,4.969,17.178,-0.088,-315.742,35.166
162,-0.126,7.938,0.253,42.545,-16.621
163,0.429,8.563,0.366,23.671,-26.366
164,3.413,-0.731,-37.85,221.568,27.502
165,7.329,-0.538,-0.41,903.785,17.597
166,3.335,7.026,1.646,1.415,-20.641
167,4.687,3.767,1.023,6.198,-16.294
168,7.767,-72.591,-0.135,2985.95,13.727
169,6.266,-13.831,-0.983,213.489,13.154
170,-2.659,4.678,-0.724,214.482,5.063
171,7.523,-1.016,-6.294,214.404,17.099
172,5.627,-0.541,-0.279,518.213,9.091
173,9.799,3.892,3.377,4.546,-20.548
174,10.692,1.53,2.705,6.381,-17.045
175,5.917,-0.514,-0.39,1067.614,8.419
176,9.378,4.066,3.287,5.6,-18.068
177,4.502,-12.769,-0.535,213.617,6.113
178,4.815,2.0,-0.059,214.177,4.291
179,6.94,-0.539,-0.264,616.384,12.126
180,6.879,-10.887,-23.628,214.358,15.204
181,8.62,3.752,6.202,2.399,-41.651
182,6.45,-0.541,-0.34,633.115,14.076
183,5.942,1.299,-0.079,214.043,15.559
184,5.773,46.176,-0.145,-5944.509,13.256
185,11.272,-6518774.952,311774.183,-28.564,-9.701
186,-2.666,8.467,-0.953,214.325,12.307
187,7.71,-14.778,-1.47,213.605,13.277
188,6.661,6383715.637,-38390.503,-499854175.969,9.724
189,7.498,-0.541,-33690173.017,408526626373.911,14.535
190,6.763,-0.012,-0.135,692.24,13.9
191,9.307,1.906,11.006,0.966,-9.48
192,7.638,-5.084,-0.18,213.55,16.618
193,8.942,0.685,12.728,0.93,-8.661
194,6.558,-11.366,-3.43,213.843,13.025
195,7.41,412.648,-1.962,-45643.507,18.208
196,7.274,0.66,-0.183,1011.485,15.796
197,2.99,2.488,1259.339,2512106.027,16.32
198,3.783,3.239,-54.831,-177012.127,19.874
199,NaN,NaN,NaN,NaN,NaN
200,NaN,NaN,NaN,NaN,NaN
201,NaN,NaN,NaN,NaN,NaN
202,NaN,NaN,NaN,NaN,NaN
203,18.264,4.307,-0.106,214.487,15.354
204,3.6,0.01,0.177,214.353,20.167
205,-20.423,3.25,-29.523,13378.983,19.066
206,NaN,NaN,NaN,NaN,NaN
207,NaN,NaN,NaN,NaN,NaN
208,5.382,-0.655,0.346,71.113,15.338
209,4.247,4.247,-0.07,71.133,12.573
210,-89.595,3.985,8293.57,-5468531.163,20.362
211,NaN,NaN,NaN,NaN,NaN
212,NaN,NaN,NaN,NaN,NaN
213,3.426,7.703,0.018,1902.728,17.824
214,0.033,8.06,0.025,280.436,-11.625
215,4.403,4.317,-0.979,-594.868,32.162
216,0.831,6.193,0.096,24.494,-33.605
217,4.398,219.96,1.92,573.966,15.361
218,5.399,0.992,0.584,54.69,-32.969
219,0.998,9.996,-0.034,-1338.901,-170.082
220,0.992,4.986,0.048,126.163,-70.437
221,0.1,5.251,0.086,-21.175,-56.405
222,5.839,6.06,-0.077,-671.074,25.138
223,1.001,6.681,0.431,45.43,-31.914
224,1.014,1.014,-4.583,532.454,-160.231
225,3.788,-46.003,-0.047,3176.171,32.122
226,0.897,6.468,0.101,43.074,-22.3
227,1.053,6.6,0.351,13.569,-31.876
228,1.021,1.026,-0.13,98.938,-97.923
229,1.019,1.019,-0.002,-475.41,-148.592
230,5.429,0.885,0.045,543.013,-51.2
231,0.99,6.398,0.151,33.028,-42.293
232,5.522,0.263,0.232,59.234,-26.714
233,-0.117,6.481,0.361,-3.569,-29.053
234,1.01,3.839,0.104,80.313,-66.916
235,4.078,0.996,0.145,378.139,-56.378
236,0.973,5.218,0.14,90.897,-45.719
237,6.228,-13.701,0.177,70.048,-19.768
238,4.162,9.895,-0.296,-136.245,15.971
239,4.189,7.43,-0.067,-130.428,22.601
240,1.075,0.062,0.0,76.141,-209.238
241,0.588,4.678,0.04,-9.954,-68.078
242,0.707,4.832,0.181,2.357,-27.795
243,4.238,5.933,-0.097,-49.941,12.926
244,3.494,5.413,0.579,102.279,9.948
245,1.005,1.035,0.0,78.945,-191.966
246,5.572,0.91,0.064,352.817,-50.871
247,0.992,5.861,0.17,24.778,-25.558
248,5.766,-1215095956133.912,1085353830.651,-2148.105,-27.922
249,-0.226,6.034,0.269,-7.197,-53.57
250,-2351.688,28780.735,0.037,-36843.495,-10.625
251,12.973,142.987,-0.325,-9207.776,66.01
252,4.058,22.745,0.57,8.186,-14.166
253,15.145,2567.852,29.445,9615.969,63.637
254,15.735,60.062,-0.583,-1282.942,56.205
255,6.741,-16.032,0.173,-648.894,26.441
256,19.874,-20.234,0.195,194.661,-66.502
257,20.736,-17.128,0.509,76.835,-11.344
258,2.334,21.358,0.854,-2.203,-27.814
259,3.869,21.74,1.593,2.839,-20.861
260,15.26,225.444,0.599,1763.852,55.105
261,4.205,10.843,0.098,76.843,-15.62
