species,pollinator,tax,dthairlength,dthairdensity,bodylength,its,,
Bombylius major,bee-flies,-,0.86,466.44,9.88,-,,
Bombylius medius,bee-flies,-,1.12,354.60,12.50,-,,
Andrena bicolor,bees,Andrena,0.59,256.26,9.50,2.05,,
Andrena cineraria,bees,Andrena,0.81,358.34,13.20,2.92,,
Andrena dorsata,bees,Andrena,0.43,227.65,11.40,2.09,,
Andrena flavipes,bees,Andrena,0.52,334.42,12.33,2.42,,
Andrena fulva,bees,Andrena,0.55,264.67,13.39,2.91,,
Andrena haemorrhoa,bees,Andrena,0.41,154.86,11.25,2.46,,
Andrena helvola,bees,Andrena,0.48,361.86,9.65,2.08,,
Andrena humilis,bees,Andrena,0.48,240.14,12.30,2.27,,
Andrena jacobi,bees,Andrena,0.70,154.08,13.45,2.86,,
Andrena lathyri,bees,Andrena,0.60,260.09,11.93,4.13,,
Andrena leptopyga,bees,Andrena,0.21,163.64,9.50,1.83,,
Andrena limata,bees,Andrena,0.66,501.52,13.51,2.98,,
Andrena minutula,bees,Andrena,0.27,421.03,7.74,1.54,,
Andrena nigroaenea,bees,Andrena,0.80,247.73,12.49,2.77,,
Andrena nitida,bees,Andrena,0.57,357.27,13.94,2.96,,
Andrena pilipes,bees,Andrena,0.62,159.80,16.30,3.12,,
Andrena sp. 1,bees,Andrena,0.50,200.38,14.00,2.80,,
Andrena sp.2,bees,Andrena,0.42,287.27,10.36,1.78,,
Andrena subopaca,bees,Andrena,0.24,408.59,6.39,1.39,,
Andrena vaga,bees,Andrena,0.80,246.33,14.04,2.78,,
Anthophora acervorum,bees,Antophorinae,0.99,375.69,14.13,3.98,,
Eucera collaris,bees,Antophorinae,1.07,135.45,12.53,3.12,,
Eucera sp.,bees,Antophorinae,0.92,157.94,16.50,3.75,,
Xylocopa violacea,bees,Antophorinae,1.00,63.52,22.40,5.67,,
Apis mellifera,bees,Apis,0.65,203.61,11.64,3.18,,
Bombus bohemicus,bees,Bombus,1.40,176.61,15.07,4.09,,
Bombus hortorum,bees,Bombus,1.58,301.10,12.83,3.65,,
