plot_code;trophic_level;Forest_Cover;Delta_d;MPD;FDis
B1;bird;0.0311;-1.583314373;-2.874915281;-0.846000409
B2;bird;0.2666;-0.862170328;-0.024081086;-0.326395168
B3;bird;0.4732;0.45426523;0.497064167;-0.376701181
B4;bird;0.2088;-0.081842144;0.290234327;0.075263957
M1;bird;0.3354;-0.142093842;0.630571882;-0.597643449
M2;bird;0.1136;-0.361729211;1.533494551;0.112090989
M3;bird;0.5493;0.8238399;1.272903026;1.082494257
G1;bird;0.1112;-1.218024721;-0.434193619;-1.059155688
G2;bird;0.1888;-2.059643638;-1.183647694;-1.397066633
G3;bird;0.3928;-1.637550808;-0.48016728;-2.101794202
P1;bird;0.1998;-0.221346686;0.414562338;0.717703651
P2;bird;0.3131;0.492005553;1.318379181;-0.068923207
P3;bird;0.0887;-1.049731334;-1.989741162;-1.013863614
P4;bird;0.6874;0.062849686;0.368348186;1.852303026
B1;plant;0.0311;0.105021801;-0.115242316;0.412394915
B2;plant;0.2666;0.313899986;-0.064348166;0.446729114
B3;plant;0.4732;-0.238738949;-0.398412934;-0.165006773
B4;plant;0.2088;0.301125977;-0.303838533;0.068422819
M1;plant;0.3354;0.986034779;-0.49965545;1.090445392
M2;plant;0.1136;0.277512184;-0.251367938;0.4725471
M3;plant;0.5493;0.665422913;-1.379705039;0.859046859
G1;plant;0.1112;-0.901231416;-1.608985998;-1.502003503
G2;plant;0.1888;0.287696014;-1.01612041;0.167133272
G3;plant;0.3928;0.30872087;-0.140779752;0.283150601
P1;plant;0.1998;-0.414860359;1.855367736;0.169037163
P2;plant;0.3131;1.246944747;1.87973267;0.969940176
P3;plant;0.0887;-1.200884324;-0.688782538;-1.427804925
P4;plant;0.6874;-0.478383155;1.340543336;-0.531440531
