Species,Sample No.,LeafThick,LeafArea
Abarema langsdorffii,1,0.076,2.84
Abarema langsdorffii,2,0.162,2.42
Abarema langsdorffii,3,0.088,2.07
Abarema langsdorffii,4,0.154,2.17
Aegiphila integrifolia,5,0.09,801.63
Aegiphila integrifolia,6,0.212,715.73
Aegiphila integrifolia,7,0.246,2122.29
Aegiphila integrifolia,8,0.216,1770.73
Alchornea glandulosa,9,0.158,1680.65
Alchornea glandulosa,10,0.112,1105.2
Alchornea glandulosa,11,0.126,1387.57
Alchornea glandulosa,12,0.134,1324.39
Alchornea glandulosa,13,0.114,1287.85
Alchornea sidifolia,14,0.156,1783.07
Alchornea sidifolia,15,0.112,1139.73
Alchornea sidifolia,16,0.17,1512.96
Alchornea sidifolia,17,0.184,1807.85
Alchornea triplinervia,18,0.304,1275.93
Alchornea triplinervia,19,0.072,801.42
Alchornea triplinervia,20,0.236,847.47
Alchornea triplinervia,21,0.188,437.14
Allophylus edulis,22,0.152,128.69
Allophylus edulis,23,0.156,151.64
Allophylus edulis,24,0.16,218.13
Allophylus edulis,25,0.128,237.38
Allophylus edulis,26,0.106,172.86
Allophylus petiolulatus,27,0.08,252.74
Allophylus petiolulatus,28,0.12,647.83
Allophylus petiolulatus,29,0.12,295.45
Allophylus petiolulatus,30,0.154,447.94
Alsophila setosa,31,0.086,83.35
Alsophila setosa,32,0.08,67.53
Alsophila setosa,33,0.06,82.03
Alsophila setosa,34,0.065,97.89
Alsophila setosa,35,0.085,85.64
Amaioua guianensis,36,0.188,791.99
Amaioua guianensis,37,0.137,434.1
Amaioua guianensis,38,0.13,427.95
Amaioua guianensis,39,0.15,343.45
Andira fraxinifolia,40,0.17,199.93
Andira fraxinifolia,41,0.17,132.94
Andira fraxinifolia,42,0.134,256.41
Andira fraxinifolia,43,0.132,587.32
Andira fraxinifolia,44,0.14,137.9
Aniba firmula,45,0.136,557.83
Aniba firmula,46,0.122,440.03
Aniba firmula,47,0.172,572.91
Aniba firmula,48,0.194,263.2
Aniba firmula,49,0.234,466.38
Annona emarginata,50,0.124,926.4
Annona emarginata,51,0.156,396.24
Annona emarginata,52,0.112,210.35
Annona emarginata,53,0.16,302.16
Annona emarginata,54,0.176,397.37
Annona neosericea,55,0.12,341
