year,plot,species,comp
1991,1a,Achillea millefolium,4.41
1992,1a,Achillea millefolium,2.13
1993,1a,Achillea millefolium,0.75
1994,1a,Achillea millefolium,0.26
1995,1a,Achillea millefolium,2.82
1996,1a,Achillea millefolium,1.14
1997,1a,Achillea millefolium,1.14
1998,1a,Achillea millefolium,0.35
1999,1a,Achillea millefolium,0.02
2000,1a,Achillea millefolium,0.51
1991,1a,Agrostis capillaris,10.9
1992,1a,Agrostis capillaris,10.22
1993,1a,Agrostis capillaris,7.05
1994,1a,Agrostis capillaris,7.35
1995,1a,Agrostis capillaris,9.62
1996,1a,Agrostis capillaris,10.28
1997,1a,Agrostis capillaris,0.47
1998,1a,Agrostis capillaris,6.99
1999,1a,Agrostis capillaris,4.75
2000,1a,Agrostis capillaris,5.32
1992,1a,Alopecurus pratensis,0.6
1993,1a,Alopecurus pratensis,1.5
1994,1a,Alopecurus pratensis,0.99
1995,1a,Alopecurus pratensis,0.47
1996,1a,Alopecurus pratensis,0.93
1997,1a,Alopecurus pratensis,2.18
1998,1a,Alopecurus pratensis,3.5
1999,1a,Alopecurus pratensis,0.76
2000,1a,Alopecurus pratensis,1.27
1991,1a,Anthoxanthum odoratum,1.31
1992,1a,Anthoxanthum odoratum,0.6
1993,1a,Anthoxanthum odoratum,8.29
1994,1a,Anthoxanthum odoratum,3.18
1995,1a,Anthoxanthum odoratum,1.52
1996,1a,Anthoxanthum odoratum,3.22
1997,1a,Anthoxanthum odoratum,0.36
1998,1a,Anthoxanthum odoratum,2.03
1999,1a,Anthoxanthum odoratum,0.99
2000,1a,Anthoxanthum odoratum,0.92
1991,1a,Arrhenatherum elatius,0.22
1992,1a,Arrhenatherum elatius,0.77
1993,1a,Arrhenatherum elatius,4.95
1994,1a,Arrhenatherum elatius,7.09
1995,1a,Arrhenatherum elatius,0.68
1996,1a,Arrhenatherum elatius,3.58
1997,1a,Arrhenatherum elatius,10.19
1998,1a,Arrhenatherum elatius,0.04
1999,1a,Arrhenatherum elatius,3.4
2000,1a,Arrhenatherum elatius,2.15
1991,1a,Briza media,0.42
1993,1a,Briza media,0.49
1994,1a,Briza media,0.16
1996,1a,Briza media,0.1
1998,1a,Briza media,0.18
1999,1a,Briza media,0.11
1991,1a,Centaurea nigra,2.68
1992,1a,Centaurea nigra,2.3
1993,1a,Centaurea nigra,7.42
1994,1a,Centaurea nigra,2.5
1995,1a,Centaurea nigra,26.19
1996,1a,Centaurea nigra,3.43
1997,1a,Centaurea nigra,2.13
1998,1a,Centaurea nigra,7.1
1999,1a,Centaurea nigra,0.44
2000,1a,Centaurea nigra,17.05
1993,1a,Cerastium fontanum,0.19
1994,1a,Cerastium fontanum,0.36
1995,1a,Cerastium fontanum,7.06
1996,1a,Cerastium fontanum,0.05
1997,1a,Cerastium fontanum,0.05
1998,1a,Cerastium fontanum,0.52
1999,1a,Cerastium fontanum,0.4
2000,1a,Cerastium fontanum,1.33
1991,1a,Conopodium majus,0.08
1992,1a,Conopodium majus,0.34
1993,1a,Conopodium majus,0.26
1994,1a,Conopodium majus,1.15
1995,1a,Conopodium majus,1.1
1996,1a,Conopodium majus,1.14
1997,1a,Conopodium majus,0.16
1991,1a,Crepis capillaris,0.12
1992,1a,Crepis capillaris,0.09
1991,1a,Dactylis glomerata,36.89
1992,1a,Dactylis glomerata,8.86
1993,1a,Dactylis glomerata,8.32
1994,1a,Dactylis glomerata,8.34
1995,1a,Dactylis glomerata,5.28
1996,1a,Dactylis glomerata,10.49
1997,1a,Dactylis glomerata,5.77
1998,1a,Dactylis glomerata,1.1
1999,1a,Dactylis glomerata,1.98
2000,1a,Dactylis glomerata,1.46
1992,1a,Festuca pratensis,2.3
1991,1a,Festuca rubra,6.9
1992,1a,Festuca rubra,6.73
1993,1a,Festuca rubra,24.6
1994,1a,Festuca rubra,5.78
1995,1a,Festuca rubra,8.15
1996,1a,Festuca rubra,29.18
1997,1a,Festuca rubra,50.31
1998,1a,Festuca rubra,47.78
1999,1a,Festuca rubra,40.15
2000,1a,Festuca rubra,32.15
1991,1a,Helictotrichon pubescens,1.4
1992,1a,Helictotrichon pubescens,15.33
1993,1a,Helictotrichon pubescens,7.99
1994,1a,Helictotrichon pubescens,3.54
1995,1a,Helictotrichon pubescens,2.4
1996,1a,Helictotrichon pubescens,11.16
1997,1a,Helictotrichon pubescens,4.63
1998,1a,Helictotrichon pubescens,11.42
1999,1a,Helictotrichon pubescens,28.95
2000,1a,Helictotrichon pubescens,16.85
1991,1a,Holcus lanatus,0.68
1992,1a,Holcus lanatus,1.28
1993,1a,Holcus lanatus,2.74
1994,1a,Holcus lanatus,2.87
1995,1a,Holcus lanatus,0.78
1996,1a,Holcus lanatus,1.77
1997,1a,Holcus lanatus,0.1
