"","ID","BodySize","CO2ppm","1","2","3","4","5"
"1",1,2.1,2.875,0.186525426,NA,NA,NA,NA
"2",2,9.6,2.201,0.203997684,NA,NA,NA,NA
"3",3,6,0.965,0.089523489,NA,NA,NA,NA
"4",4,5.9,3.82,0.351079705,NA,NA,NA,NA
"5",5,6.1,6.106,0.362911498,NA,NA,NA,NA
"6",6,7.69,2.449,0.176595164,NA,NA,NA,NA
"7",7,18.91,8.774,0.633881618,NA,NA,NA,NA
"8",8,15.6,7.054,0.417228068,NA,NA,NA,NA
"9",9,12.3,8.08,0.475654909,NA,NA,NA,NA
"10",10,14.2,6.872,0.408259273,NA,NA,NA,NA
"11",11,8.8,11.54,0.540150682,NA,NA,NA,NA
"12",12,7.4,7.182,0.335138236,NA,NA,NA,NA
"13",13,9.6,7.534,0.351786432,NA,NA,NA,NA
"14",14,7,0.439,0.102671125,NA,NA,NA,NA
"15",15,17.9,5.54,0.673582159,NA,NA,NA,NA
"16",16,17.9,4.232,0.325801482,NA,NA,NA,NA
"17",17,5.5,5.28,0.343284,NA,NA,NA,NA
"18",18,21.4,13.406,0.879890623,NA,NA,NA,NA
"19",19,5.5,0.919,0.062245541,NA,NA,NA,NA
"20",20,21.4,12.753,0.535973809,NA,NA,NA,NA
"21",21,7.3,3.229,0.209609801,NA,NA,NA,NA
"22",22,30.3,8.935,0.588918034,NA,NA,NA,NA
"23",23,7.3,1.927,0.131206802,NA,NA,NA,NA
"24",24,30.3,14.572,0.623979664,NA,NA,NA,NA
"25",25,5.4,2.295,0.14950621,NA,NA,NA,NA
"26",26,24.2,9.845,0.648942125,NA,NA,NA,NA
"27",27,33.9,14.802,1.011868084,NA,NA,NA,NA
"28",28,5.4,3.914,0.2671305,NA,NA,NA,NA
"29",29,24.2,24.464,1.0531196,NA,NA,NA,NA
"30",30,16.3,4.214,NA,0.304011368,NA,NA,NA
"31",31,25.7,3.719,NA,0.270451597,NA,NA,NA
"32",32,32.9,4.126,NA,0.300330602,NA,NA,NA
"33",33,25.6,9.265,NA,0.671491403,NA,NA,NA
"34",34,26,6.528,NA,0.4726272,NA,NA,NA
"35",35,33,8.234,NA,0.496388561,NA,NA,NA
"36",36,14.4,8.62,NA,0.632198636,NA,NA,NA
"37",37,32.6,10.234,NA,0.737057332,NA,NA,NA
"38",38,18.9,8.774,NA,0.633881618,NA,NA,NA
"39",39,36,10.08,NA,0.726607636,NA,NA,NA
"40",40,35.2,11.533,NA,0.828672261,NA,NA,NA
"41",41,43.3,18.164,NA,1.326302255,NA,NA,NA
"42",42,89.4,23.688,NA,1.704217009,NA,NA,NA
"43",43,30,19.358,NA,1.445998605,NA,NA,NA
"44",44,24.3,10.471,NA,0.763514383,NA,NA,NA
"45",45,29,12.871,NA,0.956388431,NA,NA,NA
"46",46,31.7,15.286,NA,1.116555448,NA,NA,NA
"47",47,25.4,8.331,NA,0.565949444,NA,NA,NA
"48",48,18.7,19.02,NA,1.28694075,NA,NA,NA
"49",49,29,14.033,NA,0.911921748,NA,NA,NA
"50",50,24.3,21.173,NA,1.434807593,NA,NA,NA
"51",51,37.3,11.125,NA,0.71972429,NA,NA,NA
"52",52,38.8,9.407,NA,1.228703857,NA,NA,NA
"53",53,68.6,35.15,NA,2.393475341,NA,NA,NA
"54",54,207,76.038,NA,4.741660555,NA,NA,NA
"55",55,38.8,10.24,NA,0.820421818,NA,NA,NA
"56",56,68.6,30.062,NA,2.054908507,NA,NA,NA
"57",57,207,90.888,NA,6.066154309,NA,NA,NA
"58",58,20.8,2.937,NA,0.353658187,NA,NA,NA
"59",59,33.3,3.671,NA,0.448541969,NA,NA,NA
"60",60,20.8,3.446,NA,0.300455957,NA,NA,NA
"61",61,33.3,10.2,NA,0.787660227,NA,NA,NA
"62",62,24,14.46,NA,1.003326818,NA,NA,NA
"63",63,78.7,42.049,NA,2.840457733,NA,NA,NA
"64",64,140.4,37.671,NA,2.525669318,NA,NA,NA
"65",65,24,9.673,NA,0.677011072,NA,NA,NA
"66",66,78.7,30.97,NA,2.174621898,NA,NA,NA
"67",67,31.4,17.259,NA,1.183398638,NA,NA,NA
"68",68,96,46.557,NA,3.13402678,NA,NA,NA
"69",69,31.4,18.284,NA,1.279568341,NA,NA,NA
"70",70,96,28.482,NA,1.972475598,NA,NA,NA
"71",71,160.7,24.843,NA,3.011874982,NA,NA,NA
"72",72,81.2,33.81,NA,2.273799341,NA,NA,NA
"73",73,178.7,59.06,NA,3.953127409,NA,NA,NA
"74",74,81.2,41.042,NA,2.820798005,NA,NA,NA
"75",75,178.7,32.81,NA,3.96490208,NA,NA,NA
"76",76,31.5,2.372,NA,NA,0.281028091,NA,NA
"77",77,53.5,14.84,NA,NA,1.762115091,NA,NA
"78",78,121.4,24.023,NA,NA,2.973856308,NA,NA
"79",79,31.5,11.81,NA,NA,0.859003034,NA,NA
"80",80,54.3,10.066,NA,NA,1.184894025,NA,NA
